brand,model,year,fuel_type,transmission,km_driven,owner_type,city,mileage,engine_cc,condition_rating,original_price,listed_price,estimated_final_price,days_to_sell,bargain_percent,car_age,depreciation_amount,resale_value_percent,demand_score,brand_popularity_score,price_per_km,premium_car
Hyundai,Verna,2021,Petrol,Manual,57231,Second,Nagpur,22,1497,8,1239524,820564,763124,29,7,4,439708,66.2,7.27,8,14.34,0
Volkswagen,Polo,2024,Diesel,Manual,19742,Second,Coimbatore,22,999,10,959926,851166,825631,33,3,1,99743,88.67,8.02,6,43.11,0
Toyota,Glanza,2023,Diesel,Manual,60504,Third,Ahmedabad,21,1197,6,1164583,948087,881720,35,7,2,212581,81.41,8.48,10,15.67,0
Ford,EcoSport,2025,Diesel,Automatic,772,Third,Nagpur,25,1497,8,1385507,1316231,1105634,20,16,0,0,95,7.59,6,1704.96,0
Ford,Figo,2020,Diesel,Automatic,84346,Second,Lucknow,18,,8,837195,517051,423981,34,18,5,333562,61.76,7.56,6,6.13,0
Tata,Altroz,2025,Diesel,Manual,4242,Second,Pune,27,1199,9,1026432,975110,887350,18,9,0,0,95,7.41,7,229.87,0
Toyota,Fortuner,2018,Diesel,Automatic,124553,First,Jaipur,20,2755,6,4293762,1997887,1878013,51,6,7,2300832,46.53,5.88,10,16.04,1
Maruti,Dzire,2024,Petrol,Manual,22095,Second,Delhi,19,1197,10,1023626,914916,841722,21,8,1,108011,89.38,9.86,10,41.41,0
Tata,Nexon,2018,CNG,Manual,126007,First,Mumbai,28,1497,7,1054547,524742,482762,26,8,7,517362,49.76,8.59,9,4.16,0
Tata,Safari,2020,Petrol,Manual,65797,First,Hyderabad,17,1956,8,2138362,1285583,1144168,41,11,5,818915,60.12,6.59,7,19.54,0
Tata,Punch,2018,Petrol,Manual,129715,Second,Delhi,20,1199,7,984789,361023,350192,29,3,7,606039,36.66,6.82,7,2.78,0
Renault,Kwid,2013,Petrol,Manual,223962,Second,Bhopal,20,799,3,363135,54470,49023,70,10,12,360895,15,3.33,7,0.24,0
Ford,Aspire,2025,Petrol,Manual,226,Fourth,Bangalore,13,1194,9,1075441,1021668,817334,25,20,0,0,95,7.5,5,4520.65,0
Kia,EV6,2023,Diesel,Automatic,26608,Second,Nagpur,16,0,10,8316890,6474698,6021469,18,7,2,1621569,77.85,7.97,6,243.34,1
Skoda,Kodiaq,2018,Petrol,Automatic,159055,Second,Hyderabad,13,1984,7,4152070,2059426,1977048,36,4,7,2072952,49.6,7.15,5,12.95,1
Toyota,Fortuner,2024,Diesel,Automatic,11350,First,Ahmedabad,16,2755,10,5504859,4600410,4002356,12,13,1,746473,83.57,10,10,405.32,1
Maruti,Brezza,2023,CNG,Manual,63550,Fourth,Pune,23,1462,8,1372643,1072720,858176,45,20,2,260515,78.15,8.47,9,16.88,0
Tata,Nexon,2021,Petrol,Manual,125781,Fourth,Pune,20,1497,6,1055760,656893,558359,39,15,4,384861,62.22,6.68,9,5.22,0
Hyundai,Aura,2017,CNG,Manual,195397,Third,Nagpur,27,1197,3,831940,220464,178575,49,19,8,602130,26.5,6.25,9,1.13,0
Tata,Nexon,2022,Petrol,Automatic,30485,First,Ahmedabad,,1497,9,1112738,754325,716608,24,5,3,367689,67.79,9.12,9,24.74,0
Toyota,Camry,2018,CNG,Automatic,127548,Second,Coimbatore,23,2487,7,5700435,2183266,1964939,32,10,7,3547044,38.3,7.65,10,17.12,1
Nissan,Magnite,2023,Petrol,Automatic,55438,Third,Lucknow,13,999,6,937424,788186,662076,51,16,2,164532,84.08,5.57,4,14.22,0
Maruti,Ertiga,2024,Petrol,Manual,20958,Third,Coimbatore,21,1462,9,1288502,1174598,998408,45,15,1,138334,91.16,8.42,9,56.05,0
Renault,Kwid,2014,Petrol,Manual,167084,First,Kolkata,,799,5,411994,70615,57904,41,18,11,341812,17.14,6.18,7,0.42,0
Renault,Triber,2022,Petrol,Automatic,39399,First,Pune,16,999,8,1034652,706874,586705,27,17,3,329819,68.32,8.17,6,17.94,0
Ford,Endeavour,2021,Petrol,Automatic,86796,Second,Jaipur,19,1996,6,5107546,3601330,3529303,40,2,4,1400458,70.51,6,5,41.49,1
Kia,Carens,2021,Petrol,Manual,43062,Second,Surat,16,1497,6,1459442,1000447,890397,48,11,4,500080,68.55,7.15,8,23.23,0
MG,ZS EV,2015,Diesel,Automatic,160659,First,Bangalore,27,0,5,2315019,609313,517916,39,15,10,1710912,26.32,6.38,6,3.79,1
Kia,Seltos,2012,Petrol,Automatic,240916,Second,Chandigarh,21,1497,2,914453,137167,128936,49,6,13,927465,15,3,8,0.57,0
Volkswagen,Virtus,2024,Petrol,Automatic,10009,First,Lucknow,20,1498,10,1614385,1390469,1307040,15,6,1,199971,86.13,8.39,6,138.92,0
Mahindra,Thar,2018,Diesel,Manual,101971,Second,Mumbai,16,,6,1772848,751864,736826,31,2,7,1062896,42.41,5.38,8,7.37,0
Skoda,Slavia,2024,Petrol,Manual,17432,First,Coimbatore,13,1500,10,1620170,1416838,1331827,36,6,1,210851,87.45,9.93,7,81.28,0
Honda,WR-V,2024,Petrol,Automatic,20038,Second,Kolkata,19,1199,10,1318673,1202497,1034147,13,14,1,150427,91.19,8.68,7,60.01,0
MG,ZS EV,2025,Diesel,Automatic,2335,First,Pune,18,0,9,3743682,3556497,3129717,25,12,0,0,95,6.94,6,1523.13,1
Nissan,Terrano,2025,Diesel,Manual,3051,Second,Jaipur,28,1461,10,1300432,1235410,1210701,18,2,0,0,95,9.51,5,404.92,0
Mahindra,XUV700,2014,Petrol,Automatic,195149,Second,Bangalore,15,2184,3,1695005,254250,231367,46,9,11,1529701,15,4.13,7,1.3,1
Toyota,Urban Cruiser,2021,Petrol,Automatic,55560,Second,Lucknow,22,1462,7,1336453,954093,877765,24,8,4,363868,71.39,8.06,8,17.17,0
Hyundai,Creta,2022,Diesel,Automatic,56757,Second,Delhi,19,1493,7,1472997,1036547,891430,44,14,3,436676,70.37,8.07,10,18.26,0
Renault,Kwid,2018,CNG,Automatic,134689,Second,Chennai,25,799,6,511686,239673,230086,40,4,7,287282,46.84,7.3,6,1.78,0
Hyundai,Creta,2024,Petrol,Manual,7427,First,Bangalore,18,1493,9,1677084,1478684,1345602,28,9,1,183547,88.17,10,9,199.1,0
MG,Astor,2020,CNG,Automatic,95352,Second,Bangalore,21,1497,8,1333835,853387,725378,31,15,5,455297,63.98,6.7,8,8.95,0
Honda,Elevate,2016,Petrol,Manual,180090,Second,Chandigarh,18,1200,4,831893,164631,159692,41,3,9,665334,19.79,5.54,9,0.91,0
Mahindra,XUV300,2024,Petrol,Manual,20595,Second,Bangalore,15,1199,10,1134068,974958,945709,37,3,1,144328,85.97,8.21,9,47.34,0
Toyota,Glanza,2020,Petrol,Manual,74945,First,Chandigarh,19,1197,7,912653,530616,456329,,14,5,390542,58.14,6.43,8,7.08,0
Maruti,Ciaz,2016,Diesel,Manual,74942,First,Mumbai,24,1462,4,1007801,217483,200084,37,8,9,771939,21.58,5.84,10,2.9,0
Renault,Duster,2024,CNG,Automatic,10841,Fourth,Chandigarh,22,1498,8,1559319,1342105,1234736,16,8,1,189718,86.07,8,5,123.8,0
Renault,Triber,2016,Diesel,Manual,161035,Fourth,Bangalore,26,999,6,797956,203000,158340,34,22,9,613701,25.44,5.67,6,1.26,0
Maruti,Dzire,2018,Petrol,Automatic,204334,Fourth,Nagpur,21,1197,4,870015,358881,330170,62,8,7,497677,41.25,5.47,10,1.76,0
Kia,Carens,2015,Petrol,Manual,144117,Third,Lucknow,17,1497,3,1117039,328186,275676,70,16,10,805151,29.38,4.26,6,2.28,0
Skoda,Kushaq,2016,Petrol,Manual,300639,Fourth,Ahmedabad,13,1498,3,1150074,317420,269807,59,15,9,832304,27.6,4.02,7,1.06,0
Volkswagen,Vento,2021,Petrol,Automatic,88381,Third,Jaipur,15,1598,6,1218287,772881,656948,34,15,4,422601,63.44,6.32,7,8.74,0
Honda,WR-V,2024,CNG,Manual,16295,Second,Chandigarh,28,1199,10,1240700,1084247,1062562,27,2,1,162441,87.39,10,8,66.54,0
Skoda,Kushaq,2025,Petrol,Manual,837,Second,Surat,17,1498,10,1659358,1576390,1308403,34,17,0,0,95,8.64,5,1883.38,0
Volkswagen,Vento,2025,Petrol,Manual,500,First,Bhopal,14,1598,10,1343032,1275880,1173809,35,8,0,0,95,7.13,5,2551.76,0
Maruti,Baleno,2021,Petrol,Manual,45726,First,Delhi,16,1197,7,939146,615140,522869,46,15,4,328194,65.5,7.12,10,13.45,0
Honda,Amaze,2021,Petrol,Automatic,71154,First,Jaipur,21,1199,7,1164841,827503,703377,22,15,4,328472,71.04,7.99,9,11.63,0
Honda,Amaze,2024,Petrol,Automatic,22640,Third,Mumbai,14,1199,9,1246203,1087436,1011315,47,7,1,152376,87.26,7.76,7,48.03,0
Nissan,Magnite,2023,CNG,Automatic,28351,First,Nagpur,26,999,8,956261,783560,705204,22,10,2,197794,81.94,7.72,6,41.67,0
Mahindra,Bolero,2018,Petrol,Manual,110623,Second,Kolkata,19,1493,5,979854,518538,482240,41,7,7,483160,52.92,5.44,8,4.69,0
Maruti,Dzire,2021,Diesel,Automatic,55170,Second,Mumbai,18,1197,7,1013694,701881,617655,50,12,4,299219,69.24,8.47,10,12.72,0
Nissan,Terrano,2023,Petrol,Manual,36059,First,Ahmedabad,20,1461,8,1457645,1154163,1107996,23,4,2,330480,79.18,6.16,5,32.01,0
MG,ZS EV,2018,Diesel,Automatic,128114,Second,Hyderabad,20,0,5,2771141,1103468,926913,40,16,7,1688265,39.82,7.38,7,8.61,1
Hyundai,Venue,2013,CNG,Manual,200282,Second,Chandigarh,26,1197,3,813572,122035,103729,,15,12,839313,15,4.06,8,0.61,0
Maruti,Ertiga,2024,Petrol,Manual,11975,Second,Pune,14,1462,9,1463387,1290268,1187046,25,8,1,166137,88.17,10,10,107.75,0
Honda,Amaze,2024,Petrol,Manual,15215,First,Delhi,22,1199,10,998952,864992,813092,31,6,1,122948,86.59,9.61,9,56.85,0
Maruti,Dzire,2019,Diesel,Manual,87272,First,Mumbai,23,1197,7,859537,492428,457958,30,7,6,368708,57.29,6.34,9,5.64,0
Honda,WR-V,2024,Petrol,Automatic,18804,Third,Kolkata,14,1199,8,1270580,1088632,1034200,34,5,1,158988,85.68,6.66,7,57.89,0
Toyota,Urban Cruiser,2022,Diesel,Manual,37112,Second,Delhi,20,1462,8,1070605,717840,631699,35,12,3,339081,67.05,6.95,8,19.34,0
Kia,Seltos,2024,Petrol,Manual,20417,Fourth,Coimbatore,20,1497,10,1541655,1402443,1248174,14,11,1,173258,90.97,7.65,6,,0
Tata,Nexon,2024,Petrol,Manual,18029,Second,Jaipur,18,1497,10,1500375,1299624,1143669,22,12,1,191186,86.62,8.99,8,72.09,0
Hyundai,Venue,2020,Diesel,Automatic,61656,First,Coimbatore,16,1197,6,1005432,574101,556877,29,3,5,446045,57.1,7.6,10,26.85,0
Tata,Tiago,2024,Petrol,Automatic,19182,First,Bhopal,19,1199,10,776857,671903,638307,35,5,1,102080,86.49,8.08,7,35.03,0
Nissan,Terrano,2023,Petrol,Automatic,22313,Second,Lucknow,22,1461,8,1377137,1102811,970473,47,12,2,260466,80.08,8.64,5,49.42,0
Hyundai,Verna,2023,Petrol,Automatic,30973,Second,Nagpur,22,1497,7,1379299,1077370,1023501,,5,2,301440,78.11,8.71,9,74.5,0
Tata,Safari,2022,Diesel,Manual,65946,Fourth,Hyderabad,23,1956,7,2596431,1703518,1601306,24,6,3,882316,65.61,8.8,8,25.83,0
Tata,Punch,2013,Petrol,Manual,196757,Third,Mumbai,13,1199,1,620029,98088,89260,76,9,12,518345,15.82,4.75,7,0.5,0
Kia,EV6,2021,Diesel,Automatic,85952,Third,Lucknow,24,0,6,8789248,5686643,4663047,50,18,4,2958990,64.7,7.08,7,66.16,1
Honda,WR-V,2015,Diesel,Manual,239695,Third,Kolkata,19,1199,3,916214,272115,242182,54,11,10,665500,29.7,5.87,7,1.14,0
Honda,HR-V,2024,Petrol,Manual,5195,First,Jaipur,17,1498,9,1870060,1662109,1362929,16,18,1,200469,88.88,8.13,7,319.94,0
Tata,Altroz,2018,Petrol,Manual,103832,First,Delhi,17,1199,6,883688,371237,334113,56,10,7,507809,42.01,5.58,8,3.58,0
Volkswagen,Vento,2025,Diesel,Manual,200,Second,Kolkata,17,1597,9,1416628,1345796,1157384,24,14,0,0,95,9.9,6,6728.98,0
Nissan,Kicks,2022,CNG,Automatic,47517,First,Surat,21,1461,9,1393897,954540,830449,18,13,3,478378,68.48,6.19,5,20.09,0
Hyundai,i20,2025,Petrol,Automatic,834,Third,Chennai,15,1196,8,1252042,1189439,1022917,43,14,0,0,95,9.62,8,1426.19,0
Nissan,Magnite,2023,Petrol,Automatic,24116,First,Jaipur,18,1001,9,1120173,877431,816010,29,7,2,239245,78.33,,5,93.32,0
Honda,Jazz,2024,Diesel,Automatic,15300,Second,Jaipur,21,1201,10,1369228,1176988,988669,31,16,1,182372,85.96,8.24,8,76.93,0
Skoda,Kushaq,2025,CNG,Automatic,1889,First,Chennai,24,1498,10,1655777,1572988,1305580,38,17,0,0,95,8.5,5,832.71,0
Ford,Endeavour,2023,Petrol,Automatic,24392,First,Mumbai,17,1996,10,5652842,4652854,3954925,9,15,2,1103312,82.31,7.54,6,459.2,1
Maruti,Swift,2019,Petrol,Automatic,107946,Second,Chennai,13,1197,5,870008,467194,439162,47,6,6,388673,53.7,7.66,10,4.33,0
Maruti,Baleno,2021,Petrol,Manual,101850,Third,Pune,13,1197,7,933502,603882,483105,39,20,4,319201,64.69,7.27,10,5.93,0
Honda,Elevate,2025,Petrol,Manual,1561,First,Kolkata,,1200,10,1254186,1191476,977010,17,18,0,0,95,10,9,763.28,0
Ford,Aspire,2020,Petrol,Automatic,139007,Third,Bhopal,17,1196,7,856447,554720,460417,39,17,5,319882,64.77,7.56,6,3.99,0
MG,Hector,2019,Petrol,Manual,109554,Second,Bhopal,19,1956,7,1753016,996589,817202,29,18,6,760283,56.85,8.74,8,9.1,0
Kia,Seltos,2022,Petrol,Manual,49203,Second,Coimbatore,13,1497,8,1540310,1082529,930974,28,14,3,480646,70.28,9.45,8,22,0
MG,Gloster,2023,Diesel,Manual,30158,Second,Ahmedabad,,1996,9,4536560,3594316,3234884,18,10,2,952304,79.23,8.51,7,119.18,1
Kia,EV6,2013,Petrol,Manual,95075,First,Nagpur,15,0,3,5065500,759825,699039,39,8,12,4497264,15,6.29,8,7.99,1
Maruti,Dzire,2019,Petrol,Automatic,128726,Second,Bangalore,21,1197,7,830829,406940,386593,40,5,6,439250,48.98,8.5,9,3.16,0
Nissan,Kicks,2024,Petrol,Automatic,22051,Third,Ahmedabad,15,1461,9,1399840,1243477,1106694,18,11,1,182609,88.83,7.11,5,56.39,0
Toyota,Camry,2022,Petrol,Automatic,28381,First,Bangalore,15,2487,8,6304185,4488579,3994835,16,11,3,1809971,71.2,8.95,10,313.79,1
Maruti,Ertiga,2022,Petrol,Manual,33330,First,Bhopal,21,1462,9,1082420,775337,752076,24,3,3,304803,71.63,9.07,9,23.26,0
